;Client_ID;Age;Region;Secteur_Activite;Revenu_Mensuel;Montant_Credit;Duree_Mois;Taux_Interet;Nb_Credits_Anterieurs;Garantie;Retard_Paiement_Jours;Statut_Credit
103;CLI0104;33;Ziguinchor;Agriculture;326000;2000000;12;12,58;1;Immobilière;26;Douteux
104;CLI0105;55;Thiès;Agriculture;762000;2000000;60;11,98;0;Mobilière;1;Douteux
105;CLI0106;54;Kaolack;BTP;486000;2000000;36;11,03;4;Immobilière;33;Contentieux
106;CLI0107;44;Ziguinchor;Agriculture;333000;10000000;36;8,66;4;Mobilière;72;Contentieux
107;CLI0108;45;Ziguinchor;Services;363000;1000000;12;10,28;1;Immobilière;5;Douteux
108;CLI0109;58;Ziguinchor;Commerce;392000;5000000;60;10,47;3;Caution;4;Bon
109;CLI0110;56;Ziguinchor;Services;526000;10000000;36;12,84;0;Immobilière;22;Douteux
110;CLI0111;;Ziguinchor;Agriculture;544000;5000000;36;15,47;4;Mobilière;4;Bon
111;CLI0112;43;Saint-Louis;Industrie;347000;5000000;36;12,74;5;Mobilière;30;Bon
112;CLI0113;48;Kaolack;Commerce;446000;1000000;60;8,58;4;Caution;2;Douteux
113;CLI0114;56;Ziguinchor;Commerce;836000;2000000;60;17,58;3;Mobilière;2;Bon
114;CLI0115;22;Kaolack;BTP;761000;1000000;12;17,43;5;Mobilière;58;Bon
115;CLI0116;56;Saint-Louis;BTP;529000;10000000;48;15,85;1;Caution;17;Bon
116;CLI0117;58;Saint-Louis;Industrie;457000;10000000;36;17,91;0;Caution;28;Douteux
117;CLI0118;35;Kaolack;Commerce;472000;10000000;48;13,44;1;Immobilière;6;Bon
118;CLI0119;24;Dakar;Industrie;560000;1000000;60;17,63;1;Mobilière;17;Douteux
119;CLI0120;22;Thiès;BTP;266000;5000000;60;8,76;0;Caution;14;Bon
120;CLI0121;26;Dakar;BTP;404000;5000000;60;;0;;14;Douteux
121;CLI0122;47;Dakar;Commerce;150000;500000;48;10,25;4;Caution;17;Douteux
122;CLI0123;35;Dakar;Services;522000;10000000;60;9,96;4;Immobilière;13;Bon
123;CLI0124;60;Ziguinchor;Agriculture;566000;5000000;12;9,41;0;Immobilière;8;Bon
124;CLI0125;48;Saint-Louis;BTP;363000;500000;60;14,22;5;Mobilière;5;Bon
125;CLI0126;;Dakar;BTP;733000;5000000;24;15,81;2;Caution;22;Contentieux
126;CLI0127;36;Saint-Louis;Services;229000;10000000;48;13,78;4;Mobilière;4;Bon
127;CLI0128;;Kaolack;Services;186000;2000000;24;9,47;2;Mobilière;18;Contentieux
128;CLI0129;47;Thiès;Industrie;490000;10000000;60;16,11;5;Caution;4;Bon
129;CLI0130;63;Kaolack;Industrie;638000;1000000;12;14,36;0;Immobilière;15;Douteux
130;CLI0131;34;Kaolack;Agriculture;753000;5000000;36;11,88;5;Caution;21;Douteux
131;CLI0132;53;Ziguinchor;Agriculture;367000;5000000;60;14,74;4;Mobilière;4;Douteux
132;CLI0133;;Thiès;Commerce;644000;1000000;12;10,6;1;Immobilière;1;Contentieux
133;CLI0134;53;Kaolack;Industrie;443000;1000000;48;11,45;0;Mobilière;2;Bon
134;CLI0135;25;Kaolack;BTP;419000;2000000;24;17,17;3;Caution;14;Bon
135;CLI0136;51;Thiès;Industrie;609000;5000000;24;10,91;2;Immobilière;28;Douteux
136;CLI0137;58;Thiès;BTP;567000;5000000;24;12,7;5;Immobilière;1;Douteux
137;CLI0138;44;Kaolack;Services;166000;2000000;48;16,9;0;;20;Bon
138;CLI0139;60;Thiès;Industrie;716000;500000;12;15,08;5;Immobilière;6;Bon
139;CLI0140;36;Kaolack;Services;698000;2000000;48;8,62;0;Mobilière;10;Bon
140;CLI0141;64;Kaolack;Agriculture;337000;10000000;24;9,47;4;Mobilière;40;Bon
141;CLI0142;50;Ziguinchor;Agriculture;521000;5000000;60;;4;Mobilière;6;Bon
142;CLI0143;57;Dakar;Commerce;539000;1000000;36;14,31;4;Mobilière;9;Bon
143;CLI0144;34;Kaolack;Industrie;497000;10000000;48;12,48;5;Immobilière;0;Douteux
144;CLI0145;53;Saint-Louis;Services;351000;5000000;48;9,34;3;Mobilière;1;Bon
145;CLI0146;28;Dakar;BTP;329000;2000000;12;17,58;4;Immobilière;4;Bon
146;CLI0147;43;Dakar;Agriculture;445000;10000000;12;13,3;0;Mobilière;0;Bon
147;CLI0148;49;Dakar;Agriculture;661000;5000000;48;10,42;4;Immobilière;15;Bon
148;CLI0149;23;Ziguinchor;BTP;;500000;24;13,01;1;Mobilière;8;Douteux
149;CLI0150;63;Kaolack;Services;383000;500000;36;14,8;4;Immobilière;12;Contentieux
150;CLI0151;27;Ziguinchor;Services;589000;1000000;12;8,76;5;Immobilière;3;Bon
151;CLI0152;49;Kaolack;Industrie;-63000;5000000;24;10,75;3;Immobilière;5;Douteux
152;CLI0153;49;Ziguinchor;Industrie;657000;500000;60;16,07;1;Immobilière;16;Douteux
153;CLI0154;41;Ziguinchor;Commerce;137000;2000000;12;12,6;5;Caution;50;Douteux
154;CLI0155;51;Saint-Louis;Agriculture;385000;5000000;24;13,47;5;Immobilière;1;Bon
155;CLI0156;32;Ziguinchor;Industrie;248000;2000000;24;12,33;5;;33;Contentieux
156;CLI0157;49;Thiès;Services;217000;2000000;36;8,44;0;;13;Bon
157;CLI0158;46;Saint-Louis;BTP;659000;500000;36;9,66;5;Mobilière;12;Bon
158;CLI0159;60;Ziguinchor;Services;366000;5000000;60;12,46;0;Immobilière;10;Bon
159;CLI0160;54;Dakar;Agriculture;512000;10000000;24;10,09;5;Immobilière;1;Bon
160;CLI0161;22;Thiès;Services;442000;500000;24;8,5;2;Caution;1;Bon
161;CLI0162;48;Thiès;Commerce;536000;500000;36;16,44;1;Immobilière;14;Bon
162;CLI0163;34;Thiès;Agriculture;464000;5000000;12;17,81;2;Immobilière;6;Bon
163;CLI0164;62;Saint-Louis;BTP;219000;5000000;12;15,93;5;Mobilière;37;Douteux
164;CLI0165;24;Ziguinchor;Commerce;;2000000;48;16,54;1;Caution;8;Douteux
165;CLI0166;60;Ziguinchor;Agriculture;361000;5000000;36;10,42;1;Caution;2;Bon
166;CLI0167;27;Dakar;BTP;170000;2000000;48;17,61;3;Immobilière;19;Douteux
167;CLI0168;29;Dakar;Commerce;373000;500000;36;9,97;2;Mobilière;5;Douteux
168;CLI0169;48;Thiès;Commerce;;1000000;60;17,51;3;Immobilière;11;Douteux
169;CLI0170;30;Dakar;Agriculture;;10000000;24;17,95;1;Immobilière;18;Bon
170;CLI0171;;Saint-Louis;Industrie;387000;500000;60;15,12;0;Caution;35;Douteux
171;CLI0172;54;Ziguinchor;Commerce;387000;5000000;36;17,81;1;Immobilière;24;Contentieux
172;CLI0173;63;Thiès;Commerce;392000;10000000;24;13,7;3;Immobilière;17;Douteux
173;CLI0174;45;Dakar;BTP;824000;1000000;12;10,6;2;Immobilière;17;Bon
174;CLI0175;36;Saint-Louis;Services;519000;1000000;12;12,37;5;Caution;44;Bon
175;CLI0176;53;Saint-Louis;Agriculture;527000;2000000;48;13,94;5;Caution;5;Bon
176;CLI0177;53;Dakar;Agriculture;635000;10000000;36;8,73;2;Mobilière;0;Bon
177;CLI0178;45;Ziguinchor;Industrie;493000;2000000;36;14,22;5;Caution;5;Bon
178;CLI0179;62;Dakar;Industrie;403000;500000;12;17,81;5;Immobilière;4;Bon
179;CLI0180;33;Thiès;Agriculture;415000;10000000;60;9,9;3;Mobilière;16;Douteux
180;CLI0181;60;Dakar;Industrie;437000;500000;24;15,93;2;Immobilière;15;Douteux
181;CLI0182;23;Saint-Louis;BTP;443000;2000000;60;17,08;4;Immobilière;14;Bon
182;CLI0183;24;Dakar;Agriculture;581000;10000000;60;17,44;0;Mobilière;0;Contentieux
183;CLI0184;58;Ziguinchor;Industrie;459000;2000000;12;17,6;0;;20;Bon
184;CLI0185;38;Kaolack;Agriculture;582000;10000000;12;13,21;5;Immobilière;6;Douteux
185;CLI0186;23;Dakar;Services;435000;2000000;12;;0;Immobilière;16;Douteux
186;CLI0187;23;Ziguinchor;Commerce;464000;1000000;48;15,57;2;Immobilière;12;Douteux
187;CLI0188;49;Ziguinchor;Agriculture;90000;2000000;60;9,62;2;Immobilière;6;Contentieux
188;CLI0189;44;Saint-Louis;Commerce;615000;1000000;36;12,77;1;;2;Bon
189;CLI0190;58;Ziguinchor;Industrie;512000;2000000;24;15,18;1;Mobilière;1;Douteux
190;CLI0191;;Ziguinchor;Commerce;630000;10000000;48;10,47;0;Mobilière;27;Bon
191;CLI0192;54;Ziguinchor;Agriculture;-71000;10000000;36;14,41;4;Caution;38;Douteux
192;CLI0193;22;Ziguinchor;Services;826000;10000000;60;14,67;1;Immobilière;16;Douteux
193;CLI0194;40;Thiès;Industrie;425000;5000000;12;9,63;1;Mobilière;2;Douteux
194;CLI0195;23;Thiès;Agriculture;649000;500000;60;13,65;2;Mobilière;8;Bon
195;CLI0196;47;Saint-Louis;Industrie;263000;10000000;24;15,72;4;Mobilière;20;Douteux
196;CLI0197;53;Dakar;BTP;560000;1000000;48;12,99;5;;23;Bon
197;CLI0198;27;Ziguinchor;Commerce;260000;10000000;48;8,12;0;Caution;2;Bon
198;CLI0199;53;Dakar;BTP;;5000000;24;8,09;1;Immobilière;0;Douteux
199;CLI0200;25;Dakar;Agriculture;795000;1000000;36;11,57;4;Caution;19;Bon
200;CLI0201;;Saint-Louis;Services;416000;5000000;36;;4;Immobilière;7;Douteux
201;CLI0202;38;Ziguinchor;Industrie;489000;1000000;48;10,29;0;Immobilière;4;Bon
202;CLI0203;59;Ziguinchor;Commerce;607000;2000000;48;14,34;4;Immobilière;0;Bon
203;CLI0204;45;Kaolack;Industrie;539000;500000;12;10,22;4;Immobilière;12;Douteux
204;CLI0205;26;Dakar;Agriculture;477000;500000;36;11,22;4;Mobilière;29;Bon
205;CLI0206;55;Dakar;Industrie;516000;5000000;24;16,48;1;Mobilière;47;Bon
206;CLI0207;27;Thiès;Commerce;883000;500000;36;15,29;0;;13;Douteux
207;CLI0208;43;Kaolack;Agriculture;440000;5000000;12;8,95;4;Mobilière;11;Bon
208;CLI0209;32;Thiès;Industrie;486000;5000000;48;12,29;4;Mobilière;1;Bon
209;CLI0210;37;Thiès;Services;639000;5000000;48;8,29;1;Immobilière;12;Bon
210;CLI0211;54;Thiès;Agriculture;649000;500000;12;12,81;0;Immobilière;7;Douteux
211;CLI0212;30;Saint-Louis;Agriculture;664000;5000000;24;14,62;2;Mobilière;14;Douteux
212;CLI0213;27;Saint-Louis;Services;565000;500000;48;9,19;1;Mobilière;7;Douteux
213;CLI0214;37;Thiès;BTP;244000;5000000;60;10,89;0;Caution;4;Bon
214;CLI0215;50;Kaolack;Commerce;744000;10000000;48;11,98;4;Immobilière;1;Douteux
215;CLI0216;24;Dakar;BTP;244000;5000000;60;17,2;0;Immobilière;6;Douteux
216;CLI0217;41;Kaolack;Industrie;504000;1000000;12;17,93;0;Mobilière;2;Douteux
217;CLI0218;57;Ziguinchor;Services;314000;5000000;12;8,45;5;Immobilière;3;Bon
218;CLI0219;40;Saint-Louis;BTP;438000;2000000;48;15,61;0;Immobilière;66;Douteux
219;CLI0220;47;Dakar;Agriculture;509000;5000000;36;11,72;2;Caution;9;Douteux
220;CLI0221;24;Dakar;Industrie;508000;1000000;60;11,92;0;Immobilière;11;Bon
221;CLI0222;40;Ziguinchor;Industrie;526000;1000000;24;15,54;2;Mobilière;31;Bon
222;CLI0223;41;Ziguinchor;BTP;740000;500000;48;17,18;4;Immobilière;81;Douteux
223;CLI0224;53;Thiès;BTP;532000;10000000;24;17,51;2;Immobilière;13;Bon
224;CLI0225;28;Saint-Louis;Services;406000;5000000;48;13,77;4;Immobilière;25;Contentieux
225;CLI0226;62;Saint-Louis;Commerce;624000;500000;36;11,57;4;Caution;6;Douteux
226;CLI0227;54;Kaolack;BTP;664000;10000000;36;;2;Immobilière;5;Bon
227;CLI0228;61;Thiès;BTP;229000;5000000;36;10,51;1;Caution;8;Bon
228;CLI0229;60;Thiès;Agriculture;558000;2000000;36;13,64;3;Immobilière;17;Bon
229;CLI0230;39;Thiès;Industrie;576000;5000000;12;11,59;0;Caution;17;Contentieux
230;CLI0231;61;Thiès;Commerce;396000;1000000;12;14,57;5;Immobilière;6;Bon
231;CLI0232;22;Saint-Louis;Agriculture;;1000000;60;10,4;3;Mobilière;2;Douteux
232;CLI0233;32;Saint-Louis;Services;423000;2000000;24;9,92;0;Mobilière;15;Bon
233;CLI0234;49;Thiès;Services;473000;500000;48;17,18;0;;2;Bon
234;CLI0235;46;Kaolack;BTP;419000;10000000;48;9,02;4;Immobilière;13;Bon
235;CLI0236;44;Dakar;BTP;453000;5000000;12;13,06;0;Immobilière;18;Bon
236;CLI0237;52;Dakar;Services;253000;1000000;48;10,21;5;Immobilière;18;Contentieux
237;CLI0238;51;Kaolack;BTP;191000;500000;12;8,39;0;Caution;21;Bon
238;CLI0239;63;Thiès;Commerce;737000;2000000;60;8,36;2;Mobilière;31;Bon
239;CLI0240;56;Saint-Louis;BTP;298000;1000000;24;9,75;3;Caution;10;Bon
240;CLI0241;28;Dakar;Industrie;;2000000;60;16,67;2;Immobilière;20;Bon
241;CLI0242;37;Ziguinchor;BTP;62000;5000000;36;10,82;5;Immobilière;14;Bon
242;CLI0243;47;Ziguinchor;Agriculture;335000;10000000;36;17,5;0;Immobilière;3;Douteux
243;CLI0244;23;Kaolack;Commerce;212000;1000000;36;13,82;5;;0;Bon
244;CLI0245;22;Thiès;Agriculture;746000;1000000;60;12,37;4;Mobilière;5;Bon
245;CLI0246;33;Dakar;Agriculture;632000;5000000;48;13,8;2;;9;Bon
246;CLI0247;26;Thiès;Industrie;326000;500000;24;13,17;2;Immobilière;14;Contentieux
247;CLI0248;58;Dakar;Commerce;855000;10000000;36;15,59;1;Mobilière;28;Bon
248;CLI0249;53;Kaolack;Commerce;627000;1000000;36;10,82;0;Mobilière;3;Bon
249;CLI0250;30;Kaolack;Commerce;;10000000;36;11,53;4;Immobilière;2;Douteux
250;CLI0251;62;Ziguinchor;Commerce;0;1000000;24;16,94;2;Caution;50;Bon
251;CLI0252;56;Thiès;Commerce;862000;10000000;36;17,46;2;;2;Bon
252;CLI0253;40;Ziguinchor;Industrie;200000;2000000;24;16,93;4;Caution;10;Bon
253;CLI0254;37;Thiès;BTP;154000;1000000;36;12,19;5;Caution;13;Douteux
254;CLI0255;24;Ziguinchor;Agriculture;634000;10000000;60;15,8;5;Immobilière;12;Bon
255;CLI0256;41;Saint-Louis;Commerce;889000;500000;60;12,76;0;Immobilière;1;Douteux
256;CLI0257;45;Saint-Louis;BTP;699000;2000000;24;12,98;1;;1;Bon
257;CLI0258;54;Saint-Louis;BTP;552000;2000000;60;10,05;2;Immobilière;2;Bon
258;CLI0259;45;Saint-Louis;Agriculture;557000;500000;24;13,91;1;Caution;13;Bon
259;CLI0260;32;Dakar;Industrie;604000;10000000;60;9,86;5;Caution;12;Bon
260;CLI0261;29;Saint-Louis;Services;587000;5000000;60;11,32;5;Mobilière;4;Douteux
261;CLI0262;57;Kaolack;Services;501000;500000;24;16,55;3;;15;Bon
262;CLI0263;59;Kaolack;BTP;469000;10000000;48;10,07;0;Immobilière;26;Bon
263;CLI0264;61;Dakar;Agriculture;;500000;60;8,71;3;Immobilière;1;Bon
264;CLI0265;41;Saint-Louis;Services;314000;500000;36;8,69;3;Immobilière;10;Contentieux
265;CLI0266;56;Saint-Louis;BTP;399000;1000000;48;17,41;3;Mobilière;18;Bon
266;CLI0267;46;Saint-Louis;Industrie;145000;10000000;24;13,07;0;Immobilière;4;Contentieux
267;CLI0268;56;Ziguinchor;Services;432000;5000000;48;12,09;0;Immobilière;6;Bon
268;CLI0269;46;Thiès;BTP;272000;1000000;12;16,11;4;Caution;14;Bon
269;CLI0270;50;Ziguinchor;BTP;251000;500000;12;16,36;1;;34;Bon
270;CLI0271;39;Thiès;Commerce;482000;500000;60;11,32;1;Immobilière;25;Bon
271;CLI0272;39;Saint-Louis;Industrie;701000;500000;60;14,94;4;Immobilière;13;Bon
272;CLI0273;23;Saint-Louis;Commerce;615000;10000000;36;15,71;4;;20;Bon
273;CLI0274;56;Ziguinchor;Agriculture;167000;10000000;48;14,55;5;Immobilière;7;Contentieux
274;CLI0275;37;Ziguinchor;Commerce;272000;1000000;12;9,52;3;Immobilière;15;Douteux
275;CLI0276;62;Thiès;Commerce;619000;5000000;60;16,76;4;Immobilière;9;Douteux
276;CLI0277;57;Kaolack;Services;273000;1000000;48;13,39;2;Mobilière;3;Bon
277;CLI0278;54;Thiès;BTP;410000;2000000;60;10,82;1;Immobilière;18;Bon
278;CLI0279;25;Ziguinchor;Industrie;549000;500000;60;12,25;4;;12;Bon
279;CLI0280;54;Ziguinchor;Commerce;276000;500000;12;8,38;2;Mobilière;7;Douteux
280;CLI0281;35;Dakar;Industrie;469000;500000;12;9,28;2;Mobilière;36;Contentieux
281;CLI0282;42;Ziguinchor;Commerce;210000;1000000;60;15,66;2;Immobilière;0;Bon
282;CLI0283;41;Dakar;Agriculture;342000;1000000;24;8;5;Mobilière;6;Bon
283;CLI0284;29;Kaolack;Commerce;508000;500000;60;12,17;5;Mobilière;1;Bon
284;CLI0285;28;Thiès;Services;163000;1000000;60;13,23;2;Caution;22;Bon
285;CLI0286;24;Thiès;BTP;529000;10000000;36;8,55;5;Caution;18;Bon
286;CLI0287;38;Dakar;Agriculture;446000;10000000;36;17,73;3;Mobilière;6;Bon
287;CLI0288;54;Thiès;Commerce;549000;1000000;36;10,26;2;;17;Douteux
288;CLI0289;33;Ziguinchor;Industrie;490000;500000;24;11,04;3;Caution;8;Bon
289;CLI0290;43;Saint-Louis;Agriculture;696000;1000000;24;11,04;3;Caution;21;Bon
290;CLI0291;43;Dakar;Agriculture;473000;1000000;60;10,3;2;Immobilière;9;Contentieux
